Rank,Tiktoker name,Tiktok name,followers,avgviews,avglikes,avgcomments,avgshares
159,adamw,Adam W,17700000.0,4100000.0,322000.0,2000.0,3800.0
160,garett__nolan,Garett Nolan,13400000.0,2700000.0,351300.0,2900.0,5200.0
161,ayesebastien,Sebastien,8100000.0,2800000.0,550500.0,1900.0,3000.0
162,la_lerma,LERMITA,13400000.0,3000000.0,567400.0,2100.0,2200.0
163,soysuco,Soysuco,14000000.0,3700000.0,373900.0,4700.0,652.0
164,lyodrabeneran,Lyodra Ginting,2500000.0,4300000.0,558100.0,1900.0,1200.0
165,pietro_morello,Pietro Morello,3100000.0,6600000.0,464400.0,1500.0,889.0
166,_andrewcurtiss,Andrew Curtis,2900000.0,2000000.0,408800.0,5800.0,3100.0
167,good.boy.ollie,Good Boy Ollie,5200000.0,2200000.0,398100.0,2600.0,5500.0
168,shxtsngigs,ShxtsNGigs Podcast,5900000.0,2600000.0,467200.0,1100.0,4600.0
169,addisonre,Addison,88700000.0,5300000.0,304900.0,2400.0,2000.0
170,chriscoquyt,Chris Coquyt,136200.0,2400000.0,353800.0,3600.0,4600.0
171,hisoyvaleria,valeria 🖤,9900000.0,3900000.0,454100.0,1600.0,2300.0
172,joaoferdnan,João Ferdnan,8800000.0,2300000.0,274600.0,4100.0,6900.0
173,graciajessicajane,Jessica Jane🌙,11600000.0,4900000.0,510400.0,1900.0,806.0
174,sabrenorris,Sabre Norris,3800000.0,3100000.0,321100.0,6300.0,584.0
175,official_nct,NCT Official,9200000.0,2300000.0,572500.0,3300.0,1900.0
176,ustazebitlew,Ebit Lew,4600000.0,2700000.0,213100.0,6000.0,5600.0
177,sromero29,Samuel29,599100.0,1700000.0,112900.0,887.0,34400.0
178,augustogimenez,AugustoGimenez,15000000.0,5300000.0,653500.0,1300.0,528.0
179,grannybibbins,Granny,944800.0,1500000.0,162200.0,1700.0,24600.0
180,jairsanchezzz,Jair Sanchez,8000000.0,2100000.0,349800.0,2000.0,6700.0
181,k0uvr,Kouvr,14000000.0,4300000.0,616500.0,954.0,1400.0
182,katjakrasavice,KatjaKrasavice,2800000.0,1900000.0,255500.0,11400.0,1400.0
183,janneksplace,Janneksplace,2000000.0,2700000.0,334200.0,5400.0,1600.0
184,allanpendong4,Allan Pendong,130200.0,3500000.0,245300.0,4100.0,3000.0
185,aureliehermansyahatta,Aurelie Hermansyah,9800000.0,5800000.0,351500.0,1900.0,1000.0
186,kulinaria.recetas,AGUS LIPORACE,4500000.0,2200000.0,299600.0,281.0,8600.0
187,areyoukiddingtv,AreYouKiddingTV,5700000.0,4800000.0,665700.0,1400.0,385.0
188,faryanggaa,Ryann,6100000.0,3500000.0,470500.0,2300.0,1200.0
189,_lilg4,LIL G⭐️,3000000.0,2600000.0,406000.0,2700.0,2700.0
190,_angelomarasigan,Angelo,4000000.0,4000000.0,564800.0,1700.0,833.0
191,adamalhidayat,ADAMALHDYT,3800000.0,5700000.0,472200.0,1100.0,1000.0
192,larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,4200000.0,3600000.0,418700.0,2400.0,1400.0
193,bomanizer,Bomanizer,1900000.0,1900000.0,381100.0,2300.0,5400.0
